Age,Sex,Ethnicity,Offence,Month and year,Value
Ages 15 to 19 years inclusive,Not Stated/Inadequately Described,European,Assault,February 2015,3
Ages 15 to 19 years inclusive,Female,Maori,Sexual Assault,February 2015,18
Ages 15 to 19 years inclusive,Female,Maori,Abduction and Kidnapping,February 2015,6
Ages 15 to 19 years inclusive,Female,Pacific Island,Assault,February 2015,12
Ages 15 to 19 years inclusive,Female,Not Stated / Inadequately Described,Assault,February 2015,30
Ages 10 to 14 years inclusive,Male,Pacific Island,Sexual Assault,March 2015,3
Ages 10 to 14 years inclusive,Male,Not Stated / Inadequately Described,Sexual Assault,March 2015,3
Ages 15 to 19 years inclusive,Female,Maori,Homicide and Related Offences,March 2015,1
Ages 15 to 19 years inclusive,Female,Maori,Assault,March 2015,84
Ages 15 to 19 years inclusive,Female,Maori,Sexual Assault,March 2015,24
Ages 15 to 19 years inclusive,Female,Maori,Abduction and Kidnapping,March 2015,3
Ages 15 to 19 years inclusive,Female,Middle Eastern,Assault,March 2015,3
Ages 15 to 19 years inclusive,Male,Pacific Island,Assault,March 2015,15
Ages 15 to 19 years inclusive,Female,Pacific Island,Assault,March 2015,27
Ages 15 to 19 years inclusive,Female,Pacific Island,Sexual Assault,March 2015,9
Ages 15 to 19 years inclusive,Male,Not Elsewhere Classified,Assault,March 2015,3
Ages 15 to 19 years inclusive,Female,Not Elsewhere Classified,Assault,March 2015,3
Ages 15 to 19 years inclusive,Female,Not Elsewhere Classified,Sexual Assault,March 2015,3
Ages 15 to 19 years inclusive,Female,Not Stated / Inadequately Described,Assault,March 2015,33
Ages 15 to 19 years inclusive,Male,Not Stated / Inadequately Described,Sexual Assault,March 2015,3
Ages 15 to 19 years inclusive,Female,Not Stated / Inadequately Described,Sexual Assault,March 2015,18
Ages 15 to 19 years inclusive,Not Stated/Inadequately Described,Not Stated / Inadequately Described,Sexual Assault,March 2015,3
Ages 10 to 14 years inclusive,Male,Pacific Island,Sexual Assault,April 2015,3
Ages 10 to 14 years inclusive,Male,Not Stated / Inadequately Described,Sexual Assault,April 2015,6
Ages 15 to 19 years inclusive,Female,Latin American/Hispanic,Assault,April 2015,3
Ages 15 to 19 years inclusive,Female,Maori,Assault,April 2015,96
Ages 15 to 19 years inclusive,Female,Maori,Sexual Assault,April 2015,15
Ages 15 to 19 years inclusive,Female,Maori,Abduction and Kidnapping,April 2015,3
Ages 15 to 19 years inclusive,Female,Middle Eastern,Assault,April 2015,3
Ages 15 to 19 years inclusive,Female,Middle Eastern,Sexual Assault,April 2015,3
Ages 15 to 19 years inclusive,Male,Pacific Island,Assault,April 2015,12
Ages 15 to 19 years inclusive,Female,Pacific Island,Assault,April 2015,21
Ages 15 to 19 years inclusive,Female,Pacific Island,Sexual Assault,April 2015,6
Ages 15 to 19 years inclusive,Female,Pacific Island,Abduction and Kidnapping,April 2015,3
Ages 15 to 19 years inclusive,Female,Not Elsewhere Classified,Assault,April 2015,3
Ages 15 to 19 years inclusive,Female,Not Stated / Inadequately Described,Assault,April 2015,21
Ages 15 to 19 years inclusive,Male,Not Stated / Inadequately Described,Sexual Assault,April 2015,3
Ages 15 to 19 years inclusive,Female,Not Stated / Inadequately Described,Sexual Assault,April 2015,12
Ages 10 to 14 years inclusive,Male,Pacific Island,Assault,May 2015,9
Ages 10 to 14 years inclusive,Male,Not Elsewhere Classified,Assault,May 2015,3
Ages 10 to 14 years inclusive,Male,Not Stated / Inadequately Described,Sexual Assault,May 2015,3
Ages 15 to 19 years inclusive,Female,Maori,Assault,May 2015,102
Ages 15 to 19 years inclusive,Female,Maori,Sexual Assault,May 2015,21
Ages 15 to 19 years inclusive,Male,Pacific Island,Assault,May 2015,15
Ages 15 to 19 years inclusive,Female,Pacific Island,Assault,May 2015,18
Ages 15 to 19 years inclusive,Female,Pacific Island,Sexual Assault,May 2015,9
Ages 15 to 19 years inclusive,Male,Not Stated / Inadequately Described,Assault,May 2015,36
Ages 15 to 19 years inclusive,Female,Not Stated / Inadequately Described,Assault,May 2015,30
Ages 15 to 19 years inclusive,Male,Not Stated / Inadequately Described,Sexual Assault,May 2015,3
Ages 15 to 19 years inclusive,Female,Not Stated / Inadequately Described,Sexual Assault,May 2015,24
Ages 10 to 14 years inclusive,Male,Pacific Island,Assault,June 2015,12
Ages 10 to 14 years inclusive,Male,Not Elsewhere Classified,Assault,June 2015,3
Ages 10 to 14 years inclusive,Male,Not Stated / Inadequately Described,Assault,June 2015,21
Ages 10 to 14 years inclusive,Male,Not Stated / Inadequately Described,Sexual Assault,June 2015,3
Ages 15 to 19 years inclusive,Female,Maori,Assault,June 2015,87
Ages 15 to 19 years inclusive,Female,Maori,Sexual Assault,June 2015,30
Ages 15 to 19 years inclusive,Female,Maori,Abduction and Kidnapping,June 2015,3
Ages 15 to 19 years inclusive,Female,Middle Eastern,Assault,June 2015,3
Ages 15 to 19 years inclusive,Male,Pacific Island,Assault,June 2015,18
Ages 15 to 19 years inclusive,Female,Pacific Island,Assault,June 2015,15
Ages 15 to 19 years inclusive,Female,Pacific Island,Sexual Assault,June 2015,6
Ages 15 to 19 years inclusive,Male,Not Elsewhere Classified,Sexual Assault,June 2015,3
Ages 15 to 19 years inclusive,Male,Not Elsewhere Classified,Abduction and Kidnapping,June 2015,3
Ages 15 to 19 years inclusive,Male,Not Stated / Inadequately Described,Assault,June 2015,33
Ages 15 to 19 years inclusive,Female,Not Stated / Inadequately Described,Assault,June 2015,33
Ages 15 to 19 years inclusive,Male,Not Stated / Inadequately Described,Sexual Assault,June 2015,3
Ages 15 to 19 years inclusive,Female,Not Stated / Inadequately Described,Sexual Assault,June 2015,27
Ages 10 to 14 years inclusive,Male,Pacific Island,Assault,July 2015,6
Ages 10 to 14 years inclusive,Male,Not Elsewhere Classified,Assault,July 2015,3
Ages 10 to 14 years inclusive,Male,Not Elsewhere Classified,Sexual Assault,July 2015,3
Ages 10 to 14 years inclusive,Male,Not Stated / Inadequately Described,Assault,July 2015,24
Ages 10 to 14 years inclusive,Male,Not Stated / Inadequately Described,Sexual Assault,July 2015,3
Ages 15 to 19 years inclusive,Female,Maori,Assault,July 2015,90
Ages 15 to 19 years inclusive,Female,Maori,Sexual Assault,July 2015,18
Ages 15 to 19 years inclusive,Female,Maori,Abduction and Kidnapping,July 2015,3
Ages 15 to 19 years inclusive,Female,Middle Eastern,Sexual Assault,July 2015,3
Ages 15 to 19 years inclusive,Male,Pacific Island,Assault,July 2015,12
Ages 15 to 19 years inclusive,Female,Pacific Island,Assault,July 2015,9
Ages 15 to 19 years inclusive,Female,Pacific Island,Sexual Assault,July 2015,9
Ages 15 to 19 years inclusive,Male,Not Elsewhere Classified,Assault,July 2015,3
Ages 15 to 19 years inclusive,Female,Not Elsewhere Classified,Assault,July 2015,3
Ages 15 to 19 years inclusive,Male,Not Stated / Inadequately Described,Assault,July 2015,27
Ages 15 to 19 years inclusive,Female,Not Stated / Inadequately Described,Assault,July 2015,24
Ages 15 to 19 years inclusive,Male,Not Stated / Inadequately Described,Sexual Assault,July 2015,3
Ages 15 to 19 years inclusive,Female,Not Stated / Inadequately Described,Sexual Assault,July 2015,21
Ages 15 to 19 years inclusive,Female,Not Stated / Inadequately Described,Abduction and Kidnapping,July 2015,3
Ages 10 to 14 years inclusive,Male,Pacific Island,Assault,August 2015,12
Ages 10 to 14 years inclusive,Male,Not Elsewhere Classified,Assault,August 2015,3
Ages 10 to 14 years inclusive,Male,Not Stated / Inadequately Described,Assault,August 2015,30
Ages 15 to 19 years inclusive,Female,Maori,Homicide and Related Offences,August 2015,1
Ages 15 to 19 years inclusive,Female,Maori,Assault,August 2015,84
Ages 15 to 19 years inclusive,Female,Maori,Sexual Assault,August 2015,21
Ages 15 to 19 years inclusive,Female,Middle Eastern,Assault,August 2015,3
Ages 15 to 19 years inclusive,Male,Pacific Island,Assault,August 2015,12
Ages 15 to 19 years inclusive,Female,Pacific Island,Assault,August 2015,15
Ages 15 to 19 years inclusive,Female,Pacific Island,Sexual Assault,August 2015,6
Ages 15 to 19 years inclusive,Female,Pacific Island,Abduction and Kidnapping,August 2015,3
Ages 15 to 19 years inclusive,Female,Not Elsewhere Classified,Assault,August 2015,3
Ages 15 to 19 years inclusive,Female,Not Elsewhere Classified,Sexual Assault,August 2015,3
Ages 15 to 19 years inclusive,Male,Not Stated / Inadequately Described,Assault,August 2015,33
Ages 15 to 19 years inclusive,Female,Not Stated / Inadequately Described,Assault,August 2015,39
Ages 15 to 19 years inclusive,Male,Not Stated / Inadequately Described,Sexual Assault,August 2015,3
Ages 15 to 19 years inclusive,Female,Not Stated / Inadequately Described,Sexual Assault,August 2015,18
Ages 10 to 14 years inclusive,Male,Pacific Island,Assault,September 2015,6
Ages 10 to 14 years inclusive,Male,Not Stated / Inadequately Described,Assault,September 2015,30
Ages 15 to 19 years inclusive,Female,Latin American/Hispanic,Assault,September 2015,3
Ages 15 to 19 years inclusive,Female,Maori,Assault,September 2015,93
Ages 15 to 19 years inclusive,Male,Pacific Island,Assault,September 2015,9
Ages 15 to 19 years inclusive,Female,Pacific Island,Assault,September 2015,18
Ages 15 to 19 years inclusive,Male,Not Elsewhere Classified,Assault,September 2015,3
Ages 15 to 19 years inclusive,Female,Not Elsewhere Classified,Assault,September 2015,3
Ages 15 to 19 years inclusive,Male,Not Stated / Inadequately Described,Assault,September 2015,27
Ages 15 to 19 years inclusive,Female,Not Stated / Inadequately Described,Assault,September 2015,42
Ages 15 to 19 years inclusive,Not Stated/Inadequately Described,Not Stated / Inadequately Described,Assault,September 2015,3
Ages 10 to 14 years inclusive,Male,Pacific Island,Sexual Assault,September 2015,3
Ages 10 to 14 years inclusive,Male,Not Stated / Inadequately Described,Sexual Assault,September 2015,3
Ages 15 to 19 years inclusive,Female,Latin American/Hispanic,Sexual Assault,September 2015,3
Ages 15 to 19 years inclusive,Female,Maori,Sexual Assault,September 2015,18
Ages 15 to 19 years inclusive,Female,Maori,Abduction and Kidnapping,September 2015,3
Ages 15 to 19 years inclusive,Female,Middle Eastern,Sexual Assault,September 2015,3
Ages 15 to 19 years inclusive,Female,Pacific Island,Sexual Assault,September 2015,6
Ages 15 to 19 years inclusive,Female,Not Elsewhere Classified,Sexual Assault,September 2015,3
Ages 15 to 19 years inclusive,Male,Not Stated / Inadequately Described,Sexual Assault,September 2015,6
Ages 15 to 19 years inclusive,Female,Not Stated / Inadequately Described,Sexual Assault,September 2015,21
Ages 10 to 14 years inclusive,Male,Pacific Island,Assault,October 2015,9
Ages 10 to 14 years inclusive,Male,Pacific Island,Sexual Assault,October 2015,3
Ages 10 to 14 years inclusive,Male,Not Elsewhere Classified,Assault,October 2015,3
Ages 10 to 14 years inclusive,Male,Not Stated / Inadequately Described,Assault,October 2015,33
Ages 10 to 14 years inclusive,Male,Not Stated / Inadequately Described,Sexual Assault,October 2015,3
Ages 15 to 19 years inclusive,Female,Indian,Sexual Assault,October 2015,3
Ages 15 to 19 years inclusive,Female,Maori,Assault,October 2015,105
Ages 15 to 19 years inclusive,Female,Maori,Sexual Assault,October 2015,21
Ages 15 to 19 years inclusive,Male,Pacific Island,Assault,October 2015,15
Ages 15 to 19 years inclusive,Female,Pacific Island,Assault,October 2015,21
Ages 15 to 19 years inclusive,Female,Pacific Island,Sexual Assault,October 2015,3
Ages 15 to 19 years inclusive,Male,Not Elsewhere Classified,Assault,October 2015,3
Ages 15 to 19 years inclusive,Female,Not Elsewhere Classified,Assault,October 2015,3
Ages 15 to 19 years inclusive,Male,Not Elsewhere Classified,Sexual Assault,October 2015,3
Ages 15 to 19 years inclusive,Female,Not Elsewhere Classified,Sexual Assault,October 2015,3
Ages 15 to 19 years inclusive,Male,Not Stated / Inadequately Described,Assault,October 2015,42
Ages 15 to 19 years inclusive,Female,Not Stated / Inadequately Described,Assault,October 2015,36
Ages 15 to 19 years inclusive,Male,Not Stated / Inadequately Described,Sexual Assault,October 2015,3
Ages 15 to 19 years inclusive,Female,Not Stated / Inadequately Described,Sexual Assault,October 2015,24
Ages 5 to 9 years inclusive,Male,African,Assault,July 2014,3
Ages 5 to 9 years inclusive,Female,African,Sexual Assault,July 2014,3
Ages 5 to 9 years inclusive,Male,Asian,Assault,July 2014,3
Ages 5 to 9 years inclusive,Female,Asian,Assault,July 2014,3
Ages 5 to 9 years inclusive,Male,European,Assault,July 2014,21
Ages 5 to 9 years inclusive,Male,European,Sexual Assault,July 2014,6
Ages 5 to 9 years inclusive,Female,European,Sexual Assault,July 2014,6
Ages 5 to 9 years inclusive,Male,Indian,Assault,July 2014,3
Ages 5 to 9 years inclusive,Male,Latin American/Hispanic,Assault,July 2014,3
Ages 5 to 9 years inclusive,Male,Maori,Abduction and Kidnapping,July 2014,3
Ages 10 to 14 years inclusive,Female,African,Sexual Assault,July 2014,3
Ages 10 to 14 years inclusive,Female,Asian,Assault,July 2014,3
Ages 10 to 14 years inclusive,Male,European,Assault,July 2014,27
Ages 10 to 14 years inclusive,Female,European,Assault,July 2014,27
Ages 10 to 14 years inclusive,Male,European,Sexual Assault,July 2014,6
Ages 10 to 14 years inclusive,Female,European,Sexual Assault,July 2014,30
Ages 10 to 14 years inclusive,Male,Indian,Assault,July 2014,3
Ages 10 to 14 years inclusive,Female,Indian,Assault,July 2014,3
Ages 10 to 14 years inclusive,Male,Indian,Sexual Assault,July 2014,3
Ages 10 to 14 years inclusive,Female,Indian,Sexual Assault,July 2014,3
Ages 10 to 14 years inclusive,Male,Maori,Assault,July 2014,42
Ages 10 to 14 years inclusive,Female,Maori,Assault,July 2014,39
Ages 10 to 14 years inclusive,Male,Maori,Sexual Assault,July 2014,3
Ages 10 to 14 years inclusive,Female,Maori,Sexual Assault,July 2014,21
Ages 10 to 14 years inclusive,Female,Middle Eastern,Assault,July 2014,3
Ages 10 to 14 years inclusive,Male,Pacific Island,Assault,July 2014,18
Ages 10 to 14 years inclusive,Female,Pacific Island,Assault,July 2014,6
Ages 10 to 14 years inclusive,Female,Pacific Island,Sexual Assault,July 2014,6
Ages 10 to 14 years inclusive,Male,Not Stated / Inadequately Described,Assault,July 2014,15
Ages 10 to 14 years inclusive,Female,Not Stated / Inadequately Described,Assault,July 2014,18
Ages 10 to 14 years inclusive,Female,Not Stated / Inadequately Described,Sexual Assault,July 2014,24
Ages 10 to 14 years inclusive,Female,Not Stated / Inadequately Described,Abduction and Kidnapping,July 2014,3
Ages 5 to 9 years inclusive,Male,African,Assault,August 2014,3
Ages 5 to 9 years inclusive,Female,African,Assault,August 2014,3
Ages 5 to 9 years inclusive,Female,African,Sexual Assault,August 2014,3
Ages 5 to 9 years inclusive,Male,Asian,Assault,August 2014,3
Ages 5 to 9 years inclusive,Female,Asian,Assault,August 2014,3
Ages 5 to 9 years inclusive,Male,European,Assault,August 2014,18
Ages 5 to 9 years inclusive,Male,European,Sexual Assault,August 2014,3
Ages 5 to 9 years inclusive,Female,European,Sexual Assault,August 2014,9
Ages 5 to 9 years inclusive,Male,European,Abduction and Kidnapping,August 2014,3
Ages 5 to 9 years inclusive,Male,Indian,Assault,August 2014,3
Ages 5 to 9 years inclusive,Male,Indian,Sexual Assault,August 2014,3
Ages 5 to 9 years inclusive,Male,Maori,Sexual Assault,August 2014,3
Ages 5 to 9 years inclusive,Male,Pacific Island,Sexual Assault,August 2014,3
Ages 5 to 9 years inclusive,Male,Not Stated / Inadequately Described,Assault,August 2014,12
Ages 5 to 9 years inclusive,Male,Not Stated / Inadequately Described,Sexual Assault,August 2014,6
Ages 10 to 14 years inclusive,Male,African,Assault,August 2014,3
Ages 10 to 14 years inclusive,Female,African,Assault,August 2014,3
Ages 10 to 14 years inclusive,Female,Asian,Assault,August 2014,3
Ages 10 to 14 years inclusive,Female,Asian,Sexual Assault,August 2014,3
Ages 10 to 14 years inclusive,Male,European,Assault,August 2014,48
Ages 10 to 14 years inclusive,Female,European,Assault,August 2014,39
Ages 10 to 14 years inclusive,Male,European,Sexual Assault,August 2014,3
Ages 10 to 14 years inclusive,Female,European,Sexual Assault,August 2014,30
Ages 10 to 14 years inclusive,Female,Indian,Assault,August 2014,3
Ages 10 to 14 years inclusive,Female,Indian,Sexual Assault,August 2014,3
Ages 10 to 14 years inclusive,Male,Maori,Assault,August 2014,39
Ages 10 to 14 years inclusive,Female,Maori,Assault,August 2014,54
Ages 10 to 14 years inclusive,Male,Maori,Sexual Assault,August 2014,6
Ages 10 to 14 years inclusive,Female,Maori,Sexual Assault,August 2014,39
Ages 10 to 14 years inclusive,Male,Pacific Island,Assault,August 2014,15
Ages 10 to 14 years inclusive,Female,Pacific Island,Assault,August 2014,15
Ages 10 to 14 years inclusive,Female,Pacific Island,Sexual Assault,August 2014,12
Ages 10 to 14 years inclusive,Male,Not Elsewhere Classified,Assault,August 2014,3
Ages 10 to 14 years inclusive,Male,Not Stated / Inadequately Described,Assault,August 2014,36
Ages 10 to 14 years inclusive,Female,Not Stated / Inadequately Described,Assault,August 2014,21
Ages 10 to 14 years inclusive,Female,Not Stated / Inadequately Described,Sexual Assault,August 2014,15
Ages 5 to 9 years inclusive,Female,Asian,Assault,September 2014,3
Ages 5 to 9 years inclusive,Female,Asian,Sexual Assault,September 2014,3
Ages 5 to 9 years inclusive,Not Stated/Inadequately Described,European,Assault,September 2014,3
Ages 5 to 9 years inclusive,Male,European,Sexual Assault,September 2014,6
Ages 5 to 9 years inclusive,Female,European,Sexual Assault,September 2014,12
Ages 5 to 9 years inclusive,Male,Indian,Assault,September 2014,3
Ages 5 to 9 years inclusive,Male,Maori,Abduction and Kidnapping,September 2014,3
Ages 5 to 9 years inclusive,Male,Pacific Island,Sexual Assault,September 2014,3
Ages 5 to 9 years inclusive,Male,Not Stated / Inadequately Described,Assault,September 2014,21
Ages 5 to 9 years inclusive,Male,Not Stated / Inadequately Described,Sexual Assault,September 2014,3
Ages 5 to 9 years inclusive,Male,Not Stated / Inadequately Described,Abduction and Kidnapping,September 2014,3
Ages 10 to 14 years inclusive,Female,African,Assault,September 2014,3
Ages 10 to 14 years inclusive,Male,Asian,Assault,September 2014,3
Ages 10 to 14 years inclusive,Female,Asian,Assault,September 2014,3
Ages 10 to 14 years inclusive,Male,European,Assault,September 2014,45
Ages 10 to 14 years inclusive,Female,European,Assault,September 2014,30
Ages 10 to 14 years inclusive,Male,European,Sexual Assault,September 2014,3
Ages 10 to 14 years inclusive,Female,European,Sexual Assault,September 2014,18
Ages 10 to 14 years inclusive,Male,Indian,Assault,September 2014,3
Ages 10 to 14 years inclusive,Female,Indian,Assault,September 2014,3
Ages 10 to 14 years inclusive,Female,Indian,Sexual Assault,September 2014,3
Ages 10 to 14 years inclusive,Male,Maori,Assault,September 2014,48
Ages 10 to 14 years inclusive,Female,Maori,Assault,September 2014,39
Ages 10 to 14 years inclusive,Male,Maori,Sexual Assault,September 2014,3
Ages 10 to 14 years inclusive,Female,Maori,Sexual Assault,September 2014,27
Ages 10 to 14 years inclusive,Male,Middle Eastern,Assault,September 2014,3
Ages 10 to 14 years inclusive,Female,Middle Eastern,Sexual Assault,September 2014,3
Ages 10 to 14 years inclusive,Male,Pacific Island,Assault,September 2014,15
Ages 10 to 14 years inclusive,Female,Pacific Island,Assault,September 2014,15
Ages 10 to 14 years inclusive,Female,Pacific Island,Sexual Assault,September 2014,9
Ages 10 to 14 years inclusive,Male,Not Stated / Inadequately Described,Assault,September 2014,24
Ages 10 to 14 years inclusive,Female,Not Stated / Inadequately Described,Assault,September 2014,27
Ages 10 to 14 years inclusive,Female,Not Stated / Inadequately Described,Sexual Assault,September 2014,18
Ages 10 to 14 years inclusive,Female,Not Stated / Inadequately Described,Abduction and Kidnapping,September 2014,3
Ages 5 to 9 years inclusive,Male,Asian,Assault,October 2014,3
Ages 10 to 14 years inclusive,Female,African,Sexual Assault,October 2014,3
Ages 10 to 14 years inclusive,Male,Asian,Abduction and Kidnapping,October 2014,3
Ages 10 to 14 years inclusive,Female,Indian,Sexual Assault,October 2014,3
Ages 10 to 14 years inclusive,Female,Maori,Assault,October 2014,42
Ages 10 to 14 years inclusive,Male,Not Elsewhere Classified,Assault,October 2014,3
Ages 5 to 9 years inclusive,Female,African,Sexual Assault,October 2014,3
Ages 5 to 9 years inclusive,Female,European,Assault,October 2014,9
Ages 5 to 9 years inclusive,Male,Indian,Assault,October 2014,3
Ages 5 to 9 years inclusive,Male,Pacific Island,Sexual Assault,October 2014,3
Ages 5 to 9 years inclusive,Male,European,Sexual Assault,October 2014,3
Ages 5 to 9 years inclusive,Male,Maori,Sexual Assault,October 2014,9
Ages 10 to 14 years inclusive,Male,Asian,Assault,October 2014,3
Ages 10 to 14 years inclusive,Male,European,Sexual Assault,October 2014,9
Ages 10 to 14 years inclusive,Female,Indian,Assault,October 2014,3
Ages 10 to 14 years inclusive,Male,Latin American/Hispanic,Assault,October 2014,3
Ages 10 to 14 years inclusive,Female,Middle Eastern,Assault,October 2014,3
Ages 10 to 14 years inclusive,Male,Pacific Island,Assault,October 2014,9
Ages 10 to 14 years inclusive,Female,European,Assault,October 2014,30
Ages 5 to 9 years inclusive,Male,European,Assault,October 2014,15
Ages 5 to 9 years inclusive,Female,European,Sexual Assault,October 2014,3
Ages 10 to 14 years inclusive,Male,Maori,Sexual Assault,October 2014,3
Ages 5 to 9 years inclusive,Male,Not Stated / Inadequately Described,Sexual Assault,October 2014,3
Ages 10 to 14 years inclusive,Female,Pacific Island,Sexual Assault,October 2014,3
Ages 10 to 14 years inclusive,Male,Not Stated / Inadequately Described,Assault,October 2014,18
Ages 10 to 14 years inclusive,Female,Not Stated / Inadequately Described,Sexual Assault,October 2014,15
Ages 10 to 14 years inclusive,Female,Asian,Assault,October 2014,3
Ages 10 to 14 years inclusive,Male,European,Assault,October 2014,33
Ages 10 to 14 years inclusive,Female,European,Sexual Assault,October 2014,24
Ages 10 to 14 years inclusive,Male,Maori,Assault,October 2014,48
Ages 10 to 14 years inclusive,Female,Maori,Sexual Assault,October 2014,30
Ages 10 to 14 years inclusive,Female,Pacific Island,Assault,October 2014,12
Ages 10 to 14 years inclusive,Female,Not Stated / Inadequately Described,Assault,October 2014,18
Ages 5 to 9 years inclusive,Male,Not Stated / Inadequately Described,Sexual Assault,November 2014,12
Ages 10 to 14 years inclusive,Female,European,Assault,November 2014,33
Ages 10 to 14 years inclusive,Male,European,Assault,November 2014,42
Ages 10 to 14 years inclusive,Female,Maori,Homicide and Related Offences,November 2014,1
Ages 10 to 14 years inclusive,Male,Pacific Island,Assault,November 2014,12
Ages 10 to 14 years inclusive,Female,Not Elsewhere Classified,Sexual Assault,November 2014,3
Ages 10 to 14 years inclusive,Female,Maori,Assault,November 2014,51
Ages 10 to 14 years inclusive,Female,Not Stated / Inadequately Described,Sexual Assault,November 2014,27
Ages 10 to 14 years inclusive,Male,Not Stated / Inadequately Described,Assault,November 2014,33
Ages 5 to 9 years inclusive,Male,Maori,Assault,November 2014,21
Ages 10 to 14 years inclusive,Male,Indian,Assault,November 2014,3
Ages 10 to 14 years inclusive,Female,Pacific Island,Sexual Assault,November 2014,9
Ages 10 to 14 years inclusive,Female,Not Stated / Inadequately Described,Assault,November 2014,30
Ages 10 to 14 years inclusive,Male,European,Sexual Assault,November 2014,3
Ages 5 to 9 years inclusive,Male,European,Sexual Assault,November 2014,6
Ages 5 to 9 years inclusive,Female,European,Sexual Assault,November 2014,9
Ages 10 to 14 years inclusive,Female,Pacific Island,Assault,November 2014,9
Ages 10 to 14 years inclusive,Female,Maori,Sexual Assault,November 2014,39
Ages 5 to 9 years inclusive,Female,European,Assault,November 2014,12
Ages 10 to 14 years inclusive,Female,Indian,Assault,November 2014,3
Ages 5 to 9 years inclusive,Male,Not Stated / Inadequately Described,Assault,November 2014,24
Ages 5 to 9 years inclusive,Female,Asian,Assault,November 2014,3
Ages 10 to 14 years inclusive,Female,European,Sexual Assault,November 2014,21
Ages 10 to 14 years inclusive,Male,Asian,Assault,November 2014,3
Ages 10 to 14 years inclusive,Male,Maori,Assault,November 2014,48
Ages 5 to 9 years inclusive,Male,Pacific Island,Assault,November 2014,9
Ages 10 to 14 years inclusive,Male,Maori,Sexual Assault,November 2014,15
Ages 5 to 9 years inclusive,Male,Maori,Sexual Assault,November 2014,9
Ages 5 to 9 years inclusive,Male,European,Assault,November 2014,21
Ages 10 to 14 years inclusive,Female,Maori,Abduction and Kidnapping,November 2014,3
Ages 5 to 9 years inclusive,Male,European,Assault,December 2014,12
Ages 5 to 9 years inclusive,Female,European,Assault,December 2014,12
Ages 5 to 9 years inclusive,Male,European,Sexual Assault,December 2014,3
Ages 5 to 9 years inclusive,Female,European,Sexual Assault,December 2014,6
Ages 5 to 9 years inclusive,Male,Indian,Assault,December 2014,3
Ages 5 to 9 years inclusive,Male,Maori,Assault,December 2014,15
Ages 5 to 9 years inclusive,Male,Maori,Sexual Assault,December 2014,6
Ages 5 to 9 years inclusive,Male,Pacific Island,Assault,December 2014,3
Ages 5 to 9 years inclusive,Male,Not Stated / Inadequately Described,Assault,December 2014,15
Ages 5 to 9 years inclusive,Male,Not Stated / Inadequately Described,Sexual Assault,December 2014,3
Ages 10 to 14 years inclusive,Female,African,Assault,December 2014,3
Ages 10 to 14 years inclusive,Female,Asian,Assault,December 2014,3
Ages 10 to 14 years inclusive,Female,Asian,Sexual Assault,December 2014,3
Ages 10 to 14 years inclusive,Male,European,Assault,December 2014,30
Ages 10 to 14 years inclusive,Female,European,Assault,December 2014,27
Ages 10 to 14 years inclusive,Male,European,Sexual Assault,December 2014,3
Ages 10 to 14 years inclusive,Female,European,Sexual Assault,December 2014,21
Ages 10 to 14 years inclusive,Male,Indian,Assault,December 2014,3
Ages 10 to 14 years inclusive,Female,Indian,Assault,December 2014,3
Ages 10 to 14 years inclusive,Female,Indian,Sexual Assault,December 2014,3
Ages 10 to 14 years inclusive,Male,Maori,Assault,December 2014,30
Ages 10 to 14 years inclusive,Female,Maori,Assault,December 2014,24
Ages 10 to 14 years inclusive,Male,Maori,Sexual Assault,December 2014,15
Ages 10 to 14 years inclusive,Female,Maori,Sexual Assault,December 2014,24
Ages 10 to 14 years inclusive,Male,Maori,Abduction and Kidnapping,December 2014,3
Ages 10 to 14 years inclusive,Male,Pacific Island,Assault,December 2014,9
Ages 10 to 14 years inclusive,Female,Pacific Island,Assault,December 2014,9
Ages 10 to 14 years inclusive,Female,Pacific Island,Sexual Assault,December 2014,3
Ages 10 to 14 years inclusive,Male,Not Elsewhere Classified,Assault,December 2014,3
Ages 10 to 14 years inclusive,Male,Not Stated / Inadequately Described,Assault,December 2014,21
Ages 10 to 14 years inclusive,Female,Not Stated / Inadequately Described,Assault,December 2014,21
Ages 10 to 14 years inclusive,Female,Not Stated / Inadequately Described,Sexual Assault,December 2014,21
Ages 5 to 9 years inclusive,Male,Not Elsewhere Classified,Sexual Assault,January 2015,3
Ages 5 to 9 years inclusive,Female,European,Sexual Assault,January 2015,9
Ages 5 to 9 years inclusive,Male,Asian,Assault,January 2015,3
Ages 10 to 14 years inclusive,Female,European,Sexual Assault,January 2015,24
Ages 10 to 14 years inclusive,Female,European,Assault,January 2015,27
Ages 10 to 14 years inclusive,Female,Maori,Assault,January 2015,30
Ages 10 to 14 years inclusive,Male,Not Stated / Inadequately Described,Assault,January 2015,24
Ages 5 to 9 years inclusive,Male,Not Elsewhere Classified,Assault,January 2015,3
Ages 10 to 14 years inclusive,Female,Maori,Sexual Assault,January 2015,18
Ages 5 to 9 years inclusive,Male,Maori,Assault,January 2015,21
Ages 10 to 14 years inclusive,Male,Maori,Assault,January 2015,42
Ages 10 to 14 years inclusive,Female,Not Elsewhere Classified,Sexual Assault,January 2015,3
Ages 10 to 14 years inclusive,Female,Asian,Sexual Assault,January 2015,3
Ages 10 to 14 years inclusive,Male,European,Assault,January 2015,33
